fid,ID,layer,path,z_first,vertex_ind,vertex_par,vertex_p_1,distance,angle,X,Y
"77","76",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"1","0","1",11024.2980470000,157.5000000000,480000.0001000000,6789999.9999000002
"77","76",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"2","0","2",21024.2980630000,180.0000000000,480000.0001000000,6779999.9999000002
"77","76",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"3","0","3",26287.0154870000,180.0000000000,480000.0001000000,6774737.2823999999
"77","76",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"4","1","0",26287.0154870000,180.0000000000,510000.0001500000,6745685.5492000002
"77","76",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"5","1","1",31972.5648900000,157.5000002400,510000.0001500000,6739999.9998000003
"77","76",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"6","1","2",39012.9711330000,135.0000004800,514978.3191100000,6735021.6807000004
"90","89",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"0","0","0",0.0000000000,135.0000009600,518140.2469300000,6841859.7528999997
"90","89",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"1","0","1",2630.0878227000,157.5000004800,519999.9998300000,6840000.0000000000
"90","89",SSS_AusLAMP__20078_7_n_HDS_ln_2da2cbcc_468f_4fc3_92ec_23bd9c311255,AusLAMP,-20078.0000000000,"2","0","2",3882.0070225000,180.0000000000,519999.9998300000,6838748.0807999996
"26","25",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"0","0","0",0.0000000000,90.0000000000,425069.7990700000,6749999.9996999996
"26","25",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"1","0","1",23060.1744430000,90.0000000000,448129.9735100000,6749999.9996999996
"26","25",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"2","1","0",23060.1744430000,134.9999995100,465451.1404800000,6744548.8594000004
"26","25",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"3","1","1",43635.3689500000,157.4999997600,480000.0001600000,6730000.0000000000
"26","25",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"4","1","2",48707.2404900000,180.0000000000,480000.0001600000,6724928.1284999996
"26","25",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"5","2","0",48707.2404900000,180.0000000000,490000.0002000000,6704041.1903999997
"26","25",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"6","2","1",52748.4310570000,157.5000002400,490000.0002000000,6699999.9999000002
"26","25",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"7","2","2",73762.2919250000,135.0000004900,504859.0435900000,6685140.9561999999
"35","34",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"0","0","0",0.0000000000,135.0000009700,430000.0003000000,6799999.9999000002
"35","34",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"1","0","1",14142.1354400000,157.5000004900,440000.0000000000,6789999.9999000002
"35","34",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"2","0","2",18577.9747600000,180.0000000000,440000.0000000000,6785564.1606000001
"35","34",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"3","1","0",18577.9747600000,180.0000000000,440000.0000000000,6781973.0762999998
